,query_1,query_2
33,query: Что необходимо получить от органов опеки для выдачи наличных со счета представляемого лица?,query: Можно ли заказать Детскую СберКарту через СберБанк Онлайн?
34,query: Как проверить наличие ареста на счете перед выдачей наличных?,"query: Что делать, если в разрешении ФУ указана сумма больше 50 000 рублей?"
35,"query: Какие документы должен снять скан-копию сотрудник ВСП, касающиеся банкрота?",query: Как запросить выписку по счету недееспособного клиента?
36,query: Что нужно указать в назначении платежа при оформлении перевода от Финансового управляющего?,query: Нужна ли регистрация заявления на завершение процедуры банкротства?
37,query: Какую информацию необходимо проверить перед проведением расходной операции по счету клиента?,"query: Какие действия предпринимать, если для клиента-несовершеннолетнего установлены лимиты?"
38,query: Что должно быть указано в разрешении Финансового управляющего на расход денежных средств банкрота?,query: Как подтвердить операции в СБОЛ.про?
39,query: Что появляется на экране после ввода суммы расходной операции в СБОЛ.Про?,query: Кто подтверждает операцию для ее завершения?
40,"query: Что нужно сделать, если сумма в разрешении ФУ превышает 50 000 рублей?",query: Как можно подтвердить операцию в особых случаях?
41,query: Какой документ нужен для заказа Детской СберКарты для ребенка?,query: Что такое 'доверенное лицо' для людей с ограниченной дееспособностью?
42,query: Что необходимо получить для снятия наличных со счета представляемого лица?,query: Что можно сделать с Номинальным счетом для получения социальных выплат?
43,query: Какие поведенческие признаки клиента могут указывать на признаки комплаенса при проведении расходных операций?,"query: Какие проверки должен сделать банк перед тем, как проводить операции с потенциальным банкротом?"
44,query: Какие ограничения есть у клиента-банкрота на расход денежных средств в зависимости от стадии банкротства?,"query: Можно ли запросить справки или выписки со счета, если идет процедура банкротства?"
45,query: На какие операции не распространяется временный порядок обслуживания законных представителей в ВСП?,query: Какую группу клиентов нужно указать для недееспособного?
46,query: Какую информацию нужно указать при оформлении перевода от имени законного представителя?,query: Куда отправить бумажный запрос на получение информации?
47,"query: Какие документы нужны, чтобы получить Детскую СберКарту для ребенка от 6 до 13 лет?",query: Клиент банкрот может получить новую или перевыпущенную кредитку?
48,"query: Какой текст выводится на экран в Сбол.Про, если клиент собирается провести операцию?","query: Обязательно ли согласование выпуска карты с ПЦП Центра комплаенс, если клиент не интересуется процедурами по ПОД/ФТ?"
49,query: Какое время занимает принятие решения о проведении операции при выдаче наличных при закрытии счета?,query: Кто может получить доступ к деньгам на номинальном счёте после смерти бенефициара?
50,query: Какой документ необходим для проставления маркера дееспособности клиента?,query: Что важно учитывать по поводу дееспособности клиента при работе с Банком?
51,query: Кто может быть законным представителем для получения Детской СберКарты в офисе Банка?,query: Какие бумаги необходимо приложить к заявлению на поиск счетов банкрота?
52,"query: Какую заявку нужно сформировать для разблокировки счета, если на нем есть арест?",query: Что происходит после автоматической проверки прав ФУ?
53,query: Как проверить наличие ареста на счете перед выдачей средств?,query: Что препятствует доступу к номинальному счёту для получения социальных выплат?
54,query: Какой возраст должен быть у ребёнка для получения Детской СберКарты?,query: Кто из Законных представителей имеет доступ к этому функционалу?
55,"query: Каков возрастной диапазон детей, для которых можно оформить Детскую СберКарту?",query: Где можно найти дизайны Детской СберКарты?
56,query: Какие документы нужны для установления связи между законным представителем и несовершеннолетним клиентом?,"query: Законный представитель получает ли уведомление, если наложено ограничение на снятие наличных?"
57,query: Как клиент может сменить номер телефона для входа в СБОЛ?,query: Нужна ли письменная согласие опеки для оформления доверенности на несовершеннолетнего?
58,"query: С каким вопросом обратился клиент, признанный банкротом?","query: Что сказать клиенту, который желает оформить или переоформить карту и подлежит дополнительному контролю банка?"
59,query: При каких обстоятельствах возможно прекращение связи между законным представителем и подопечным?,"query: Что нужно сделать, чтобы обновить полномочия владельца счёта после окончания срока действия старого документа?"
60,query: С какого числа доступен заказ Детской СберКарты по свидетельству о рождении Украины?,"query: Как поступить, если есть сомнения, что снятие денег с счетов связано с обналичкой?"
61,"query: Что следует сделать, если клиент пришел один и не проявляет интерес к процедурам по ПОД/ФТ?",query: Что требуется для подтверждения дееспособности подростка с 14 до 18 лет?
62,query: Как можно прекратить связь с законным представителем?,"query: Что запрещено для клиентов, которые признаны банкротами?"
63,query: Какой способ получения карты можно выбрать при оформлении в МП СБОЛ?,query: Кто является законным представителем для получения карты для ребенка?
64,query: Что необходимо сделать перед закрытием счета с выдачей остатка?,"query: При снятии ограничения на интернет-покупки, получает ли законный представитель уведомление?"
65,"query: В каких случаях можно редактировать документ, подтверждающий полномочия законного представителя?","query: Как действовать, если финансовый управляющий и банкрот работают с разными банками при получении денег?"
66,query: Какие документы нужны для восстановления дееспособности клиента?,"query: Что делать, если клиент не имеет возможности предоставить новый документ для подтверждения права на средства номинального счёта?"
67,query: Какие данные необходимо заполнить при заказе карты в МП СБОЛ для ребенка?,query: Кто имеет право быть законным представителем недееспособного подопечного?
68,query: Какую карту банкрот может использовать в качестве специального счета с лимитом 50 000 рублей?,"query: Почему не открывают счет для физлица, которое стало банкротом?"
69,"query: Что нужно сделать, если банкрот хочет использовать дебетовую карту в качестве специального счета?",query: Почему может быть лишен права управлять номинальным счетом?
70,query: Какое ориентировочное время решения о проведении операции клиенту сообщает банк?,query: Что Банк может запретить банкроту в плане имущества и денег?
71,query: Какие поведенческие признаки могут указывать на подозрительное поведение клиента при смене номера телефона и контрольной фразы?,query: Сколько времени занимает принятие решения по операции для клиентов СберПервый?
72,query: Как можно оформить карту для ребенка в ВСП?,query: Какие признаки указывают на странность валютно-обменной операции клиента?
73,query: Что может открыть банкрот без согласия финансового управляющего?,query: Какой документ нужен клиенту для посещения ВСП?
74,query: Какие операции физических лиц требуют согласования с подразделением комплаенс?,query: По каким причинам была сделана запись об утрате прав представителя?
75,query: Какие шаги необходимо выполнить для восстановления дееспособности клиента в Банке?,query: Как родители могут увидеть данные о молодежных картах в МП СБОЛ?
76,query: Куда нужно направить бумажный экземпляр Запроса о предоставлении информации?,query: Какая заявка не нужна при повторном визите для разблокировки счета?
77,"query: Что необходимо проверить, если клиент по ошибке был промаркирован как недееспособный?",query: Кто такие финансовые управляющие при делах о банкротстве?
78,query: Какие счета может открыть банкрот без согласия Финансового управляющего?,query: Что нужно родителю для получения справки о счете ребенка?
79,query: Какое максимальное количество Детских СберКарт можно оформить на одного ребёнка?,"query: Что делать, если в разделе «Мои подопечные» нет нужного человека?"
80,query: Что может открыть банкрот в любой стадии банкротства без согласия Финансового управляющего?,query: С кем нужно согласовать снятие наличных после указания суммы?
81,query: Какой срок принятия решения о проведении операции после направления на согласование?,query: Какой документ подтверждает отметку об утрате прав законного представителя?
82,query: Как осуществляется проставление или изменение маркера дееспособности клиента?,query: Что нужно сделать для получения дебетовой карты моментум во время реструктуризации долга банкрота?
83,query: Можно ли оформить Детскую СберКарту в СберБанк Онлайн?,"query: Что делать, если клиент не в состоянии предоставить новый документ?"
84,query: Можно ли клиенту-банкроту получить новую или перевыпущенную банковскую карту?,query: С какого возраста разрешено открыть Детскую СберКарту для малыша?
85,query: Можно ли получить справки или выписки по счету во время банкротства?,query: Какие документы составляют учредительные бумаги государственного социального учреждения?
86,query: Куда нужно направить бумажный экземпляр Запроса о предоставлении информации?,query: Как информировать Центр комплаенс о массовом открытии карт для клиента?
87,query: Какие роли Законных представителей могут пользоваться представленным функционалом?,query: Какой документ нужно предоставить для идентификации клиента?
88,query: Где можно посмотреть дизайны Детской СберКарты?,"query: Что нужно сделать, чтобы снять наличные с счета вкладчика?"
89,query: Кто может быть законным представителем для оформления карты ребенка?,query: Какое нужно решение для назначения опекуна?
90,query: Какое ориентировочное время принятия решения о проведении операции для клиентов сегмента СберПервый?,query: Кто может обратиться за получением наличных с банковской карты?
91,query: Какие действия необходимо выполнить для оформления дебетовой карты моментум для банкрота на стадии реструктуризации долга?,"query: Что делать, если клиент не имеет возможности предоставить новый документ для подтверждения полномочий?"
92,"query: Что нужно сделать, если в списке «Мои подопечные» отсутствует нужный подопечный?",query: В каких случаях нельзя воспользоваться номинальным счётом для получения социальных выплат?
93,query: С какого минимального возраста можно оформить Детскую СберКарту для ребенка?,query: Какое уведомление приходит при попытке сделать перевод в СБОЛ.Про?
94,query: Какой вопрос касался банкрота при обращении в банк?,query: Может ли клиент в процессе банкротства заблокировать или получить новую банковскую карту?
95,query: Можно ли заблокировать или перевыпустить банковскую карту клиента в процессе банкротства?,"query: Что нужно сделать, чтобы подать заявку на разблокировку счета в АС 'Сбердруг'?"
96,query: Как идентифицировать родителя или приемного родителя в Банке при работе с представителями?,"query: Когда можно оформить нотариальную доверенность для человека, признанного банкротом?"
97,query: С какого числа доступен заказ Детской СберКарты по свидетельству о рождении Украины?,query: Когда можно идти в банк после подачи заявки на разблокировку счета?
98,query: Что нужно сделать с данными обратившихся клиентов и сопровождающего лица?,query: Как подтвердить личность родителя или опекуна в Банке при взаимодействии с представителями?
99,query: Какое заявление клиент подал в ГК «Агентство по страхованию вкладов»?,query: Что необходимо выяснить о лимитах и ограничениях на детских картах?
100,"query: Как редактировать документ, подтверждающий полномочия законного представителя в системе?",query: Что нужно написать в заявке в АС 'Сбердруг' для подтверждения полномочий финансового управляющего?
101,query: Как зарегистрироваться в приложении СберKids для ребёнка?,"query: Кто несет ответственность за обслуживание клиента, если возникают проблемы с его идентификацией?"
102,query: С каким вопросом обращаются банкроты относительно военной пенсии?,query: С какого числа можно заказать Детскую СберКарту по украинскому свидетельству о рождении?
103,"query: Каковы основные требования к упаковке документов, направляемых в ООД от вкладчиков разорившихся банков?",query: Какую заявку оформляет банк после перевода для банкрота?
104,query: Как установить приложение СберKids на смартфон ребёнка?,query: Что нужно принести клиенту к нотариусу для поиска наследства?
105,query: Как может банкрот погасить задолженность по кредиту?,query: Какой вопрос задавали о банкротстве при визите в банк?
106,query: Какие операции по ОМС можно выполнить в СБОЛ.про?,query: Какие действия нужно предпринять после проверки и сканирования документов на экране «Запрос документов»?
107,query: Где Родителю искать QR-код для доступа Ребенка в МП СберKids?,query: У клиента есть ДПНП для подтверждения наследства?
108,query: Куда направляются заявления вкладчиков согласно Федеральному закону от 23.12.2003 N 177-ФЗ?,query: Как поступить с информацией о клиентах и их сопровождающих?
109,query: Какое действие возможно третьими лицами в СБОЛ.Про?,query: Какие документы необходимо добавить к расходному ордеру при открытии ареста со счета?
110,query: Что такое исполнительный документ и для чего он может быть предъявлен в банк?,query: Какое согласие нужно для операций с деньгами несовершеннолетнего?
111,query: Что требуется для снятия всех ограничений после завершения процедуры банкротства?,query: Какие бумаги нужно взять к нотариусу для вопросов по ДПНП?
112,query: Какие операции по ОМС можно проводить в СБОЛ.про?,query: Когда достаточно просто указать счет в разрешении Финансового управляющего для получения алиментов и пособий на детей?
113,query: Какой закон регулирует предъявление исполнительных документов в банк?,query: Что запрещено делать клиенту при внесудебном банкротстве?
114,"query: Что делать, если Родитель не получает СМС для подтверждения добавления Детской СберКарты?",query: Кто имеет право получить справки по счетам и вкладам после смерти собственника?
115,query: Какое решение необходимо предоставить для снятия всех ограничений при банкротстве?,query: Какое заявление отправил клиент в ГК «Агентство по страхованию вкладов»?
116,query: Что необходимо предоставить для снятия всех ограничений после банкротства?,"query: Снимает ли законный представитель блокировку карты, уведомляя ребенка об этом?"
117,query: Какие операции по ОМС доступны для клиентов в СБОЛ.про?,query: Какое финансовое состояние может привести к ограничению дееспособности из-за зависимости?
118,"query: Какие типы документов подлежат отправке на хранение в Сервисный центр ""Архив""?",query: Когда не нужно регистрировать заявления в АС CRM 'Розничный' для наследства?
119,query: Какие документы необходимо предоставить для снятия всех ограничений по банкротству?,query: Что можно сделать в процессе реструктуризации долгов с согласия финансового управляющего?
120,query: С какого числа можно заказать Детскую СберКарту по свидетельству о рождении Украины со штампом о гражданстве РФ?,"query: Как изменить документ, который подтверждает права законного представителя в системе?"
121,query: Какие операции по ОМС можно провести в СБОЛ.про с металлическими счетами?,query: Что нужно сделать после появления уведомления на экране монитора?
122,query: Какие документы могут быть предъявлены в банк для исполнения требований закона об исполнительном производстве?,query: Какие документы должен предоставить клиент?
123,query: Какие условия необходимы для получения наследства при стадии банкротства 'реструктуризация долгов'?,query: Какой документ нужен работнику для работы с банкротом?
124,query: Какие операции с металлическими счетами доступны в СБОЛ.про?,query: Как оформить регистрацию в приложении СберKids для ребенка?
125,query: Как автоматически подключаются бонусы СберСпасибо?,query: Какие вопросы задают банкроты по поводу военной пенсии?
126,query: Какую выплату сможет получить клиент банка в случае банкротства?,query: Кто может обращаться по этому документу?
127,query: Сколько бонусов начисляется за покупки по Детской СберКарте?,query: Как подать заявку на перевод в систему 'Сбердруг'?
128,query: Какие операции по ОМС можно выполнять через СБОЛ.про?,query: Что необходимо предоставить для подтверждения источника дохода клиента?
129,"query: От какого типа документа зависит подразделение, которое будет работать с оригиналом документа?","query: Будет ли уведомлен законный представитель, если ребенок сменит ПИН-код?"
130,query: Что описывает регламент N 5529 в актуальной редакции?,query: С какого возраста можно оформить Детскую СберКарту для ребенка?
131,query: Какой федеральный закон представлен для самостоятельного изучения?,query: Какое время занимает решение по наличной операции после отправки заявки на согласование?
132,query: Какие преимущества могут быть получены при использовании бонусов СберСпасибо?,"query: Нужно ли получать одобрение комплаенса, если нет подозрений на легализацию доходов?"
133,query: С какого числа доступен заказ Детской СберКарты по свидетельству о рождении Украины?,query: Что подразумевается под вопросом о намерении клиента совершить финансовую операцию?
134,query: Какие операции можно выполнять по металлическим счетам в СБОЛ.про?,query: Какие главные требования к упаковке бумаг для ООД от вкладчиков несостоятельных банков?
135,query: С какой операцией может обратиться банкрот в банк?,query: Куда нужно обратиться для подачи заявления о розыске?
136,query: Как осуществляется покупка металла на металлический счёт?,query: Что нужно проверить для подтверждения вклада сотруднику?
137,"query: Что делать, если не удается создать связь между законным представителем и ребенком?",query: Что может делать доверенное лицо клиента-банкрота на этапе 'Реализация имущества'?
138,query: Что представляет собой технологическая схема исполнения требований исполнительных документов о наложении ареста?,query: На что нужно обратить внимание перед операцией в СБОЛ.Про?
139,query: Как можно открыть металлический счёт?,query: Как осуществить перевод средств с счета представляемого лица в Сбер или другой банк?
140,"query: Что делать, если связь не создается по техническим причинам?",query: На какую роль Финансовый управляющий может оформить вклад для банкрота?
141,query: Какие материалы предлагаются для самостоятельного изучения?,query: Как банкрот может рассчитаться с долгом по кредиту?
142,query: Какие операции разрешены банкротам в стадии реализации имущества?,query: Как загрузить СберKids на телефон ребенка?
143,"query: Что нужно проверить, чтобы найти Профиль Ребёнка?","query: Что делать после того, как документы проверены на экране 'Запрос документов'?"
144,query: Как осуществляется продажа металла с металлического счёта через УРМ?,query: Что подразумевается под статусом 'Да' при идентификации клиента?
145,query: Какие документы должен предоставить банкрот для получения перевода?,"query: Что предпринять сотруднику, если клиент не имеет при себе Сберкнижку?"
146,query: Какой документ клиент-банкрот обязан предъявить для получения перевода?,"query: Ребенок будет уведомлен о том, что его карта разблокирована?"
147,query: Что такое исполнительные документы и в каком случае они могут быть предъявлены в банк?,query: Какие действия с ОМС доступны через СБОЛ.про?
148,query: Для чего законному представителю необходимо создавать связь с ребенком?,query: Какие документы нужны для получения прожиточного минимума банкрота?
149,query: Каким образом можно купить металл на металлический счёт наличными через кассу?,query: Что может заменить Сберкнижку?
150,query: Что такое placeholder в контексте memo_id 16300?,query: Какая сумма платежа требует более тщательной проверки?
151,query: Как осуществляется закрытие металлического счёта с перечислением?,query: На что опирается налоговый орган при подтверждении существования учреждения?
152,query: Какие документы должен предъявить клиент-банкрот для получения перевода?,query: Когда именно вклад по имени вкладчика был открыт?
